"pais","Media_costo_hora","Numero_plazas"
"Argentina",50,1
"Australia",20,1
"Cambodia",38,2
"Canada",33.3333333333333,3
"China",31.25,8
"Guatemala",50,1
"Hong Kong",42.5,2
"India",16.3809523809524,21
"Italy",42,1
"Netherlands",40,1
"Poland",44,1
"Romania",35,1
"Russian Federation",43.3333333333333,3
"Serbia",35,1
"Singapore",16,1
"South Korea",25,1
"Switzerland",40,1
"Ukraine",36.6666666666667,3
"United States",52.5714285714286,7
