"Pais","Porcentaje"
" Denmark",2.38
"Argentina",2.38
"Armenia",2.38
"Bangladesh",2.38
"Germany",4.76
"Hong Kong",2.38
"India",19.05
"Italy",2.38
"Kosovo",2.38
"Malaysia",4.76
"Moldova",2.38
"Netherlands",4.76
"Nigeria",4.76
"Russian Federation",2.38
"Spain",2.38
"Sweden",7.14
"United Arab Emirates",2.38
"United Kingdom",7.14
"United States",21.43
